id,doi_link,manuscript_type,novel_biologging,biologging_context,external_data,device_cat,genus,species,habitat,more_species,biologging_availability,conserv*,note,authors,title,source,year,doi
johnson2015b,doi.org/10.1080/00028487.2015.1042556,S,Y,W,,"L, I, E",Lutjanus,campechanus,M,N,N,N,,"Johnson, MW; Diamond, SL; Stunz, GW",External Attachment of Acoustic Tags to Deepwater Reef Fishes: an Alternate Approach When Internal Implantation Affects Experimental Design,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,2015,10.1080/00028487.2015.1042556
wilson2015c,doi.org/10.7717/peerj.957,S,Y,W,,"L, E",Phoca,vitulina,M,N,N,N,,"Wilson, RP; Liebsch, N; Gomez-Laich, A; Kay, WP; Bone, A; Hobson, VJ; Siebert, U",Options for modulating intra-specific competition in colonial pinnipeds: the case of harbour seals (Phoca vitulina) in the Wadden Sea,PEERJ,2015,10.7717/peerj.957
newman2012,doi.org/10.1371/journal.pone.0030636,S,Y,W,,L,Anser ,indicus,"T, A",Y,N,Y,,"Newman, SH; Hill, NJ; Spragens, KA; Janies, D; Voronkin, IO; Prosser, DJ; Yan, BP; Lei, FM; Batbayar, N; Natsagdorj, T; Bishop, CM; Butler, PJ; Wikelski, M; Balachandran, S; Mundkur, T; Douglas, DC; Takekawa, JY",Eco-Virological Approach for Assessing the Role of Wild Birds in the Spread of Avian Influenza H5N1 along the Central Asian Flyway,PLOS ONE,2012,10.1371/journal.pone.0030636
shaw2014,doi.org/10.3957/056.044.0108,S,Y,W,,L,Neotis,ludwigii,T,N,N,Y,,"Shaw, JM; Dilley, BJ; Davies, D; Ryan, PG",Trapping and capture myopathy in Ludwig's Bustard,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,2014,10.3957/056.044.0108
halttunen2009,doi.org/10.1007/978-1-4020-9640-2_3,S,Y,W,,E,Salmo,salar L.,"M, A",N,N,N,,"Halttunen, E; Rikardsen, AH; Davidsen, JG; Thorstad, EB; Dempson, JB","Survival, Migration Speed and Swimming Depth of Atlantic Salmon Kelts During Sea Entry and Fjord Migration",TAGGING AND TRACKING OF MARINE ANIMALS WITH ELECTRONIC DEVICES,2009,10.1007/978-1-4020-9640-2_3
chilvers2009,doi.org/NA,S,Y,W,,L,Phocarctos,hookeri,M,N,N,N,,"Chilvers, BL",Foraging locations of female New Zealand sea lions (Phocarctos hookeri) from a declining colony,NEW ZEALAND JOURNAL OF ECOLOGY,2009,NA
baylis2012,doi.org/10.1111/j.1748-7692.2011.00487.x,S,Y,W,,L,Arctocephalus ,australis forsteri,M,N,N,Y,,"Baylis, AMM; Page, B; McKenzie, J; Goldsworthy, SD",Individual foraging site fidelity in lactating New Zealand fur seals: Continental shelf vs. oceanic habitats,MARINE MAMMAL SCIENCE,2012,10.1111/j.1748-7692.2011.00487.x
byrnes2021b,doi.org/10.1007/s00227-020-03803-w,S,Y,W,,"L, I, E",Negaprion,acutidens,M,N,Y,Y,,"Byrnes, EE; Daly, R; Leos-Barajas, V; Langrock, R; Gleiss, AC",Evaluating the constraints governing activity patterns of a coastal marine top predator,MARINE BIOLOGY,2021,10.1007/s00227-020-03803-w
peterson2015,doi.org/10.1016/j.scitotenv.2015.06.097,S,Y,W,,L,Mirounga,angustirostris,M,N,N,N,,"Peterson, SH; Peterson, MG; Debier, C; Covaci, A; Dirtu, AC; Malarvannan, G; Crocker, DE; Schwarz, LK; Costa, DP",Deep-ocean foraging northern elephant seals bioaccumulate persistent organic pollutants,SCIENCE OF THE TOTAL ENVIRONMENT,2015,10.1016/j.scitotenv.2015.06.097
jouanneau2022,doi.org/10.1016/j.envpol.2022.119619,S,Y,W,,L,Larus,argentatus,M,Y,Y,N,,"Jouanneau, W; Sebastiano, M; Rozen-Rechels, D; Harris, SM; Blevin, P; Angerlier, F; Brischoux, F; Gernigon, J; Lemesle, JC; Robin, F; Cherel, Y; Bustamante, P; Chastel, O",Blood mercury concentrations in four sympatric gull species from South Western France: Insights from stable isotopes and biologging,ENVIRONMENTAL POLLUTION,2022,10.1016/j.envpol.2022.119619
carpenterkling2017,doi.org/10.1007/s00227-016-3066-9,S,Y,W,,L,Pygoscelis,papua,M,N,N,N,,"Carpenter-Kling, T; Handley, JM; Green, DB; Reisinger, RR; Makhado, AB; Crawford, RJM; Pistorius, PA",A novel foraging strategy in gentoo penguins breeding at sub-Antarctic Marion Island,MARINE BIOLOGY,2017,10.1007/s00227-016-3066-9
ramos2013,doi.org/10.1111/ddi.12088,S,Y,W,,L,Calonectris,borealis,M,N,N,Y,,"Ramos, R; Granadeiro, JP; Rodriguez, B; Navarro, J; Paiva, VH; Becares, J; Reyes-Gonzalez, JM; Fagundes, I; Ruiz, A; Arcos, P; Gonzalez-Solis, J; Catry, P",Meta-population feeding grounds of Cory's shearwater in the subtropical Atlantic Ocean: implications for the definition of Marine Protected Areas based on tracking studies,DIVERSITY AND DISTRIBUTIONS,2013,10.1111/ddi.12088
harris2020b,doi.org/10.1098/rspb.2020.2381,S,Y,W,,L,Rissa,tridactyla,M,N,Y,N,,"Harris, SM; Descamps, S; Sneddon, LU; Cairo, M; Bertrand, P; Patrick, SC",Personality-specific carry-over effects on breeding,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2020,10.1098/rspb.2020.2381
picardi2019,doi.org/10.1002/jwmg.21576,S,Y,W,,L,Capreolus,capreolus,T,N,N,Y,,"Picardi, S; Basille, M; Peters, W; Ponciano, JM; Boitani, L; Cagnacci, F",Movement responses of roe deer to hunting risk,JOURNAL OF WILDLIFE MANAGEMENT,2019,10.1002/jwmg.21576
senner2015,doi.org/10.1111/1365-2656.12381,S,Y,W,,L,Limosa ,limosa limosa,"A, T",N,Y,Y,,"Senner, NR; Verhoeven, MA; Abad-Gomez, JM; Gutierrez, JS; Hooijmeijer, JCEW; Kentie, R; Masero, JA; Tibbitts, TL; Piersma, T",When Siberia came to the Netherlands: the response of continental black-tailed godwits to a rare spring weather event,JOURNAL OF ANIMAL ECOLOGY,2015,10.1111/1365-2656.12381
kowalczyk2015,doi.org/10.3389/fmars.2015.00042,S,Y,W,,L,Eudyptula,minor,M,N,Y,N,,"Kowalczyk, ND; Reina, RD; Preston, TJ; Chiaradia, A",Selective foraging within estuarine plume fronts by an inshore resident seabird,FRONTIERS IN MARINE SCIENCE,2015,10.3389/fmars.2015.00042
carneiro2022,doi.org/10.1111/acv.12768,S,Y,W,,L,Diomedea ,exulans,M,N,N,Y,,"Carneiro, APB; Dias, MP; Oppel, S; Pearmain, EJ; Clark, BL; Wood, AG; Clavelle, T; Phillips, RA",Integrating immersion with GPS data improves behavioural classification for wandering albatrosses and shows scavenging behind fishing vessels mirrors natural foraging,ANIMAL CONSERVATION,2022,10.1111/acv.12768
fayet2021,doi.org/10.1111/1365-2656.13442,S,Y,W,,L,Fratercula,arctica,M,N,Y,Y,,"Fayet, AL; Clucas, GV; Anker-Nilssen, T; Syposz, M; Hansen, ES","Local prey shortages drive foraging costs and breeding success in a declining seabird, the Atlantic puffin",JOURNAL OF ANIMAL ECOLOGY,2021,10.1111/1365-2656.13442
allegue2022,doi.org/10.1002/ece3.8457,S,Y,W,,"L, E",Mirounga,leonina,M,N,Y,Y,,"Allegue, H; Guinet, C; Patrick, SC; Hindell, MA; McMahon, CR; Reale, D","Sex, body size, and boldness shape the seasonal foraging habitat selection in southern elephant seals",ECOLOGY AND EVOLUTION,2022,10.1002/ece3.8457
chamaillejammes2013,doi.org/10.1371/journal.pone.0059164,S,Y,W,,L,Loxodonta ,africana,T,N,Y,N,,"Chamaille-Jammes, S; Mtare, G; Makuwe, E; Fritz, H",African Elephants Adjust Speed in Response to Surface-Water Constraint on Foraging during the Dry-Season,PLOS ONE,2013,10.1371/journal.pone.0059164
johnson2018,doi.org/10.1111/1365-2664.13021,S,Y,W,,L,Ursus,americanus,T,N,Y,Y,,"Johnson, HE; Lewis, DL; Verzuh, TL; Wallace, CF; Much, RM; Willmarth, LK; Breck, SW",Human development and climate affect hibernation in a large carnivore with implications for human-carnivore conflicts,JOURNAL OF APPLIED ECOLOGY,2018,10.1111/1365-2664.13021
lone2019,doi.org/10.33265/polar.v38.3483,S,Y,W,,L,Pusa,hispida,M,N,N,Y,,"Lone, K; Hamilton, CD; Aars, J; Lydersen, C; Kovacs, KM",Summer habitat selection by ringed seals (Pusa hispida) in the drifting sea ice of the northern Barents Sea,POLAR RESEARCH,2019,10.33265/polar.v38.3483
meisingset2022,doi.org/10.1002/ecs2.4281,S,Y,W,,L,Cervus,elaphus,T,N,Y,Y,,"Meisingset, EL; Gusevik, J; Skjorestad, A; Brekkum, O; Mysterud, A; Rosell, F",Impacts of human disturbance on flight response and habitat use of red deer,ECOSPHERE,2022,10.1002/ecs2.4281
ariasdelrazo2011,doi.org/10.1016/j.jaridenv.2010.09.008,S,Y,W,,L,Canis,latrans,T,N,N,N,,"Arias-Del Razo, I; Hernandez, L; Laundre, JW; Myers, O","Do predator and prey foraging activity patterns match? A study of coyotes (Canis latrans), and lagomorphs (Lepus californicus and Sylvilagus audobonii)",JOURNAL OF ARID ENVIRONMENTS,2011,10.1016/j.jaridenv.2010.09.008
hoskins2008,doi.org/10.3354/meps07507,S,Y,W,,L,Eudyptula,minor,M,N,N,N,,"Hoskins, AJ; Dann, P; Ropert-Coudert, Y; Kato, A; Chiaradia, A; Costa, DP; Arnould, JPY","Foraging behaviour and habitat selection of the little penguin Eudyptula minor during early chick rearing in Bass Strait, Australia",MARINE ECOLOGY PROGRESS SERIES,2008,10.3354/meps07507
ruthrauff2021,doi.org/10.1111/jofo.12365,S,Y,W,,L,Numenius,phaeopus,T,N,Y,Y,,"Ruthrauff, DR; Harwood, CM; Tibbitts, TL; Warnock, N; Gill, RE","Diverse patterns of migratory timing, site use, and site fidelity by Alaska-breeding Whimbrels",JOURNAL OF FIELD ORNITHOLOGY,2021,10.1111/jofo.12365
mcmahon2021a,doi.org/10.1002/wsb.1167,S,Y,W,,L,Alces,alces,T,N,N,Y,,"McMahon, MC; Ditmer, MA; Isaac, EJ; Moore, SA; Forester, JD",Evaluating Unmanned Aerial Systems for the Detection and Monitoring of Moose in Northeastern Minnesota,WILDLIFE SOCIETY BULLETIN,2021,10.1002/wsb.1167
young2019,doi.org/10.3390/ani9050275,S,Y,W,,L,Lynx,rufus,T,N,N,Y,,"Young, JK; Golla, J; Draper, JP; Broman, D; Blankenship, T; Heilbrun, R",Space Use and Movement of Urban Bobcats,ANIMALS,2019,10.3390/ani9050275
abalomorla2018,doi.org/10.1007/s00227-018-3306-2,S,Y,W,,L,Caretta,caretta,M,N,Y,Y,,"Abalo-Morla, S; Marco, A; Tomas, J; Revuelta, O; Abella, E; Marco, V; Crespo-Picazo, JL; Fernandez, C; Valdes, F; Arroyo, MD; Montero, S; Vazquez, C; Eymar, J; Esteban, JA; Pelegri, J; Belda, EJ",Survival and dispersal routes of head-started loggerhead sea turtle (Caretta caretta) post-hatchlings in the Mediterranean Sea,MARINE BIOLOGY,2018,10.1007/s00227-018-3306-2
bom2014,doi.org/10.1186/2051-3933-2-6,S,Y,W,,"L, I",Dromas,ardeola,"M, T",N,Y,N,,"Bom, RA; Bouten, W; Piersma, T; Oosterbeek, K; van Gils, JA",Optimizing acceleration-based ethograms: the use of variable-time versus fixed-time segmentation,MOVEMENT ECOLOGY,2014,10.1186/2051-3933-2-6
dorak2017,doi.org/10.1650/CONDOR-16-234.1,S,Y,W,,L,Branta,canadensis,"T, A",N,N,N,,"Dorak, BE; Ward, MP; Eichholz, MW; Washburn, BE; Lyons, TP; Hagy, HM","Survival and habitat selection of Canada Geese during autumn and winter in metropolitan Chicago, USA",CONDOR,2017,10.1650/CONDOR-16-234.1
sur2017,doi.org/10.1371/journal.pone.0174785,S,Y,"W, C",,"L, I",Aquila,chrysaetos,T,N,Y,Y,,"Sur, M; Suffredini, T; Wessells, SM; Bloom, PH; Lanzone, M; Blackshire, S; Sridhar, S; Katzner, T",Improved supervised classification of accelerometry data to distinguish behaviors of soaring birds,PLOS ONE,2017,10.1371/journal.pone.0174785
meager2009,doi.org/10.3354/meps08156,S,Y,W,,L,Gadus,morhua,M,N,N,N,,"Meager, JJ; Skjaeraasen, JE; Ferno, A; Karlsen, O; Lokkeborg, S; Michalsen, K; Utskot, SO",Vertical dynamics and reproductive behaviour of farmed and wild Atlantic cod Gadus morhua,MARINE ECOLOGY PROGRESS SERIES,2009,10.3354/meps08156
wang2022,doi.org/10.17582/journal.pjz/20191220051218,S,Y,W,,L,Elaphurus,davidianus,T,N,N,N,,"Wang, SY; Zhao, YL; Xu, ZG; Chen, JZ; Yang, GY; Wang, S; Jiang, KK","Home Range Characteristics of the Released Female Milu (Pere David's Deer, Elaphurus davidianus) Population during Different Periods and Effects of Water Submersion in Dongting Lake, China",PAKISTAN JOURNAL OF ZOOLOGY,2022,10.17582/journal.pjz/20191220051218
auge2011b,doi.org/10.3354/meps09176,S,Y,W,,L,Phocarctos,hookeri,M,N,N,Y,,"Auge, AA; Chilvers, BL; Moore, AB; Davis, LS",Foraging behaviour indicates marginal marine habitat for New Zealand sea lions: remnant versus recolonising populations,MARINE ECOLOGY PROGRESS SERIES,2011,10.3354/meps09176
shillinger2008,doi.org/10.1371/journal.pbio.0060171,S,Y,W,,"L, E",Dermochelys,coriacea,M,N,Y,Y,,"Shillinger, GL; Palacios, DM; Bailey, H; Bograd, SJ; Swithenbank, AM; Gaspar, P; Wallace, BP; Spotila, JR; Paladino, FV; Piedra, R; Eckert, SA; Block, BA",Persistent leatherback turtle migrations present opportunities for conservation,PLOS BIOLOGY,2008,10.1371/journal.pbio.0060171
joumaa2017,doi.org/10.3354/meps12191,S,Y,W,,"L, I, E",Mirounga,leonina,M,N,Y,N,,"Jouma'a, J; Le Bras, Y; Picard, B; Guinet, C","Three-dimensional assessment of hunting strategies in a deep diving predator, southern elephant seal Mirounga leonina",MARINE ECOLOGY PROGRESS SERIES,2017,10.3354/meps12191
bidner2018,doi.org/10.1002/ajp.22932,S,Y,W,,L,Papio ,spp.,T,Y,N,N,,"Bidner, LR; Matsumoto-Oda, A; Isbell, LA",The role of sleeping sites in the predator-prey dynamics of leopards and olive baboons,AMERICAN JOURNAL OF PRIMATOLOGY,2018,10.1002/ajp.22932
stewart2019,doi.org/10.1038/s41598-019-47067-x,S,Y,W,,"L, I",Pekania,pennanti,T,N,Y,Y,,"Stewart, FEC; Darlington, S; Volpe, JP; McAdie, M; Fisher, JT",Corridors best facilitate functional connectivity across a protected area network,SCIENTIFIC REPORTS,2019,10.1038/s41598-019-47067-x
basille2013,doi.org/10.1111/j.1600-0587.2011.07367.x,S,Y,W,,L,Rangifer,tarandus caribou,T,Y,N,Y,,"Basille, M; Fortin, D; Dussault, C; Ouellet, JP; Courtois, R",Ecologically based definition of seasons clarifies predatorprey interactions,ECOGRAPHY,2013,10.1111/j.1600-0587.2011.07367.x
abrilcolon2022,doi.org/10.1186/s40462-022-00346-1,S,Y,W,,"L, I",Chlamydotis ,undulata fuertaventurae,T,N,Y,Y,,"Abril-Colon, I; Alonso, JC; Palacin, C; Ucero, A; Alvarez-Martinez, JM",Factors modulating home range and resource use: a case study with Canarian houbara bustards,MOVEMENT ECOLOGY,2022,10.1186/s40462-022-00346-1
girard2009,doi.org/10.1007/s00227-009-1216-z,S,Y,W,,L,Caretta,caretta,M,N,Y,Y,,"Girard, C; Tucker, AD; Calmettes, B",Post-nesting migrations of loggerhead sea turtles in the Gulf of Mexico: dispersal in highly dynamic conditions,MARINE BIOLOGY,2009,10.1007/s00227-009-1216-z
fortin2022,doi.org/10.1016/j.biocon.2022.109794,S,Y,W,,L,Loxodonta,africana,T,N,Y,Y,,"Fortin, D; Berube, AJ; Boudreau, S; Shrader, A; Ward, D",Density-dependent habitat selection varies between male and female African elephants,BIOLOGICAL CONSERVATION,2022,10.1016/j.biocon.2022.109794
drouilly2020b,doi.org/10.1111/jzo.12737,S,Y,W,,L,Canis,mesomelas,T,Y,N,N,,"Drouilly, M; Nattrass, N; O'Riain, MJ",Global positioning system location clusters vs. scats: comparing dietary estimates to determine mesopredator diet in a conflict framework,JOURNAL OF ZOOLOGY,2020,10.1111/jzo.12737
bennitt2019,doi.org/10.1371/journal.pone.0213720,S,Y,W,,L,Equus,quagga,T,Y,Y,Y,,"Bennitt, E; Hubel, TY; Bartlam-Brooks, HLA; Wilson, AM",Possible causes of divergent population trends in sympatric African herbivores,PLOS ONE,2019,10.1371/journal.pone.0213720
amelineau2021,doi.org/10.1098/rsbl.2021.0331,S,Y,W,,L,Numenius ,arquata arquata,"M, T",N,Y,N,,"Amelineau, F; Delbart, N; Schwemmer, P; Marja, R; Fort, J; Garthe, S; Elts, J; Delaporte, P; Rousseau, P; Duraffour, F; Bocher, P",Timing of spring departure of long distance migrants correlates with previous year's conditions at their breeding site,BIOLOGY LETTERS,2021,10.1098/rsbl.2021.0331
nowak2020,doi.org/10.1186/s40462-020-00225-7,S,Y,W,,,Halichoerus,grypus,M,N,Y,N,,"Nowak, BVR; Bowen, WD; Whoriskey, K; Lidgard, DC; Flemming, JEM; Iverson, SJ","Foraging behaviour of a continental shelf marine predator, the grey seal (Halichoerus grypus), is associated with in situ, subsurface oceanographic conditions",MOVEMENT ECOLOGY,2020,10.1186/s40462-020-00225-7
veltheim2022,doi.org/10.1080/01584197.2022.2036196,S,Y,W,,L,Antigone,rubicunda,"A, T",N,Y,Y,,"Veltheim, I; Cook, S; McCarthy, MA; Palmer, GC; Hill, FAR",Partial migration of Brolgas (Antigone rubicunda) within a restricted range is revealed by GPS tracking,EMU-AUSTRAL ORNITHOLOGY,2022,10.1080/01584197.2022.2036196
skinner2022,doi.org/10.1111/ddi.13477,S,Y,W,,L,Antrostomus,vociferus,T,N,Y,Y,,"Skinner, AA; Ward, MP; Souza-Cole, I; Wright, JR; Thompson, FR; Benson, TJ; Matthews, SN; Tonra, CM",High spatiotemporal overlap in the non-breeding season despite geographically dispersed breeding locations in the eastern whip-poor-will (Antrostomus vociferus),DIVERSITY AND DISTRIBUTIONS,2022,10.1111/ddi.13477
amelineau2014,doi.org/10.1242/jeb.097915,S,Y,W,,"L, I, E",Morus,bassanus,M,N,N,N,,"Amelineau, F; Peron, C; Lescroel, A; Authier, M; Provost, P; Gremillet, D",Windscape and tortuosity shape the flight costs of northern gannets,JOURNAL OF EXPERIMENTAL BIOLOGY,2014,10.1242/jeb.097915
leech2017,doi.org/10.1139/cjz-2016-0076,S,Y,W,,L,Rangifer ,tarandus caribou,T,Y,N,Y,,"Leech, H; Jelinski, DE; DeGroot, L; Kuzyk, G",The temporal niche and seasonal differences in predation risk to translocated and resident woodland caribou (Rangifer tarandus caribou),CANADIAN JOURNAL OF ZOOLOGY,2017,10.1139/cjz-2016-0076
brambilla2018,doi.org/10.1016/j.mambio.2018.02.001,S,Y,W,,"L, I",Capra,ibex,T,N,N,Y,,"Brambilla, A; Brivio, F",Assessing the effects of helicopter disturbance in a mountain ungulate on different time scales,MAMMALIAN BIOLOGY,2018,10.1016/j.mambio.2018.02.001
muthoka2023,doi.org/10.1080/03949370.2021.2024265,S,Y,W,,L,Sus,scrofa,T,N,N,N,are wild boar (Sus scrofa) domestic? ,"Muthoka, CM; Andren, H; Nyaga, J; Augustsson, E; Kjellander, P",Effect of supplemental feeding on habitat and crop selection by wild boar in Sweden,ETHOLOGY ECOLOGY & EVOLUTION,2023,10.1080/03949370.2021.2024265
olson2015,doi.org/10.1674/0003-0031-174.1.96,S,Y,W,,L,Odocoileus,virginianus,T,N,N,N,,"Olson, AK; Gulsby, WD; Cohen, BS; Byrne, ME; Osborn, DA; Miller, KV",Spring Excursions of Mature Male White-tailed Deer (Odocoileus virginianus) in North Central Pennsylvania,AMERICAN MIDLAND NATURALIST,2015,10.1674/0003-0031-174.1.96
tennessen2019,doi.org/10.1038/s41598-019-50942-2,S,Y,W,,"L, I, E",Orcinus,orca,M,N,Y,Y,,"Tennessen, JB; Holt, MM; Ward, EJ; Hanson, MB; Emmons, CK; Giles, DA; Hogan, JT",Hidden Markov models reveal temporal patterns and sex differences in killer whale behavior,SCIENTIFIC REPORTS,2019,10.1038/s41598-019-50942-2
wiemers2014,doi.org/10.2981/wlb.13029,S,Y,W,,L,Odocoileus,virginianus,T,N,N,N,,"Wiemers, DW; Fulbright, TE; Wester, DB; Ortega-S, JA; Rasmussen, GA; Hewitt, DG; Hellickson, MW","Role of thermal environment in habitat selection by male white-tailed deer during summer in Texas, USA",WILDLIFE BIOLOGY,2014,10.2981/wlb.13029
hensman2014b,doi.org/10.1111/aje.12113,S,Y,W,,L,Hippotragus,niger,T,N,N,N,,"Hensman, MC; Owen-Smith, N; Parrini, F; Bonyongo, CM",Resource use and the nutritional status of sable antelope in the Okavango Delta region of northern Botswana,AFRICAN JOURNAL OF ECOLOGY,2014,10.1111/aje.12113
